name,category,description,coordinates,source_file,corrected_description
Condado Lagoon,Landmark,"['Condado Lagoon(Spanish:Laguna del Condado) is located inSan Juan, Puerto Rico. It is an effluent body of water that flows freely between theCondadoandMiramarneighborhoods ofSanturce, abarrioof San Juan.\\n', 'Its tributary stream of water forms part of theSan Juan BayEstuary.[1]An estuary is a coastal area where fresh water from rivers and other inland water sources mixes with salt water from the ocean. The Metropolitan Area of Puerto Rico is intersected by estuarine bodies of water, such as Condado Lagoon,Mart\\xc3\\xadn Pe\\xc3\\xb1a Channel,San Jos\\xc3\\xa9 LagoonandPi\\xc3\\xb1ones Lagoon, among others. TheCucharillas Marshis another part of thisurban ecosystem. Condado Lagoon empties into theAtlantic OceanthroughEl Boquer\\xc3\\xb3n, an inlet spanned by theDos Hermanos Bridgethrough theSan Antonio Creek.[citation needed]It is one of two natural lagoons inSan Juan, Puerto Rico.[citation needed]\\n', 'In late 2020, the Condado Ocean Club Hotel, overlooking the Condado Lagoon and the Atlantic Ocean, opened its doors.[2]\\n']","{'latitude': None, 'longitude': None}",condado_lagoon.txt,"['Condado Lagoon (Spanish: Laguna del Condado) is located in San Juan, Puerto Rico. It is an effluent body of water that flows freely between the Condado and Miramar neighborhoods of Santurce, a barrio of San Juan.\\n', 'Its tributary stream of water forms part of the San Juan Bay Estuary. An estuary is a coastal area where fresh water from rivers and other inland water sources mixes with salt water from the ocean. The Metropolitan Area of Puerto Rico is intersected by estuarine bodies of water, such as Condado Lagoon, Martín Peña Channel, San José Lagoon and Piñones Lagoon, among others. The Cucharillas Marsh is another part of this urban ecosystem. Condado Lagoon empties into the Atlantic Ocean through El Boquerón, an inlet spanned by the Dos Hermanos Bridge through the San Antonio Creek. [citation needed] It is one of two natural lagoons in San Juan, Puerto Rico. [citation needed]\\n', 'In late 2020, the Condado Ocean Club Hotel, overlooking the Condado Lagoon and the Atlantic Ocean, opened its doors. [2]\\n']"
Condado Vanderbilt Hotel,Landmark,"['18\\xc2\\xb027\\xe2\\x80\\xb230.9\\xe2\\x80\\xb3N66\\xc2\\xb04\\xe2\\x80\\xb233.9\\xe2\\x80\\xb3W\ufeff / \ufeff18.458583\\xc2\\xb0N 66.076083\\xc2\\xb0W\ufeff /18.458583; -66.076083\\n', ""TheCondado Vanderbilt Hotelis a historicluxury hotelbuilt in 1919 and located on Ashford Avenue in the district ofCondadoinSan Juan, capital city of the U.S. territory ofPuerto Rico. It was listed on theNational Register of Historic Placesin 2008.[5]The hotel was designed by the architectural firmWarren and Wetmore, who also designedNew York\\'sGrand Central Terminal. It was built by theVanderbilt familyand it marked the beginning of high end tourism inPuerto Rico.[6]\\n"", ""Construction of theCondado Vanderbilt Hotelwas begun in 1917 byFrederick William Vanderbilt, the son ofWilliam Henry Vanderbilt.[7]He selected the prominent architectural firm ofWarren and Wetmore, which had designed New York City\\'sGrand Central Terminal, as well as the Biltmore, Commodore, and Ambassador Hotels. On 16 October 1919, the hotel, having cost a million dollars to construct, was inaugurated.[8][9][10]It was suggested that the early Spanish Revival style architecture be used by Fredrick Vanderbilt.[1]Capitalizing on the property\\'s setting adjacent to the Atlantic Ocean, the designers created a Beaux Arts-style structure with white walls, red tiles, French windows, lofty ceilings and other design details typical of the style at the time. The original roofing featured antique Spanish tiles sourced from Puerto Rico\\'s older Spanish buildings. The floors and the public areas including the main staircase were decorated with marble and mosaics and the area between the ocean and the hotel building was developed to help the building withstand damage from the Atlantic coast. The hotel also featured aflagstonepaved terrace.[8]Giant pandanus, several kinds ofbougainvillea, fruit trees andcoconut palmscould also be found in the hotel\\'s gardens.[8]\\n""]","{'latitude': -66.0761, 'longitude': 18.4586}",condado_vanderbilt_hotel.txt,"['18°27′30.9″N 66°4′33.9″W / 18.458583°N 66.076083°W / 18.458583; -66.076083\n', ""The Condado Vanderbilt Hotel is a historic luxury hotel built in 1919 and located on Ashford Avenue in the district of Condado in San Juan, capital city of the U.S. territory of Puerto Rico. It was listed on the National Register of Historic Places in 2008. The hotel was designed by the architectural firm Warren and Wetmore, who also designed New York's Grand Central Terminal. It was built by the Vanderbilt family and it marked the beginning of high-end tourism in Puerto Rico.\n"", ""Construction of the Condado Vanderbilt Hotel was begun in 1917 by Frederick William Vanderbilt, the son of William Henry Vanderbilt. He selected the prominent architectural firm of Warren and Wetmore, which had designed New York City's Grand Central Terminal, as well as the Biltmore, Commodore, and Ambassador Hotels. On 16 October 1919, the hotel, having cost a million dollars to construct, was inaugurated. It was suggested that the early Spanish Revival style architecture be used by Frederick Vanderbilt. Capitalizing on the property's setting adjacent to the Atlantic Ocean, the designers created a Beaux Arts-style structure with white walls, red tiles, French windows, lofty ceilings, and other design details typical of the style at the time. The original roofing featured antique Spanish tiles sourced from Puerto Rico's older Spanish buildings. The floors and the public areas including the main staircase were decorated with marble and mosaics and the area between the ocean and the hotel building was developed to help the building withstand damage from the Atlantic coast. The hotel also featured a flagstone-paved terrace. Giant pandanus, several kinds of bougainvillea, fruit trees, and coconut palms could also be found in the hotel's gardens.\n""]"
Conservatory of Music of Puerto Rico,Landmark,"['ThePuerto Rico Conservatory of Music(Spanish:Conservatorio de M\\xc3\\xbasica de Puerto Rico) is a publicconservatoryinSan Juan, Puerto Rico.[2]It has hosted a number of international musicians as students as well as faculty, and has a longstanding relationship with the classical music movement in Puerto Rico, including the annualCasals Festivaland thePuerto Rico Symphony Orchestra(PRSO).\\n', 'Following the success of the Casals Festival held in San Juan in 1957, state legislatorErnesto Ramos Antoniniproposed several laws which would create the Puerto Rico Symphony Orchestra that same year, and the Conservatory of Music in June 1959. The conservatory was originally envisioned as a school for preparing musicians for the PRSO and for preparing music teachers for the state public education system. Throughout the years, however, the conservatory has become a musical landmark in the Caribbean, providing advanced academic studies in various music areas to local students as well as international visitors.\\n', 'Since its inception, the conservatory has been under the administration of state government agencies, including the Puerto Rico Industrial Development Company (Compa\\xc3\\xb1\\xc3\\xada de Fomento Econ\\xc3\\xb3mico), the Administration for the Encouragement of Arts and Culture (Administraci\\xc3\\xb3n para el Fomento de las Artes y Cultura), and the Musical Arts Corporation (Corporaci\\xc3\\xb3n de las Artes Musicales, or CAM). It remained a part of the CAM until 1995 when a state law granted it fiscal and administrative autonomy. Since then, the conservatory has been autonomously run by aboard of trusteesappointed by the Governor and confirmed by the Senate.\\n']","{'latitude': None, 'longitude': None}",conservatory_of_music_of_puerto_rico.txt,"['The Puerto Rico Conservatory of Music (Spanish: Conservatorio de Música de Puerto Rico) is a public conservatory in San Juan, Puerto Rico. It has hosted a number of international musicians as students as well as faculty, and has a longstanding relationship with the classical music movement in Puerto Rico, including the annual Casals Festival and the Puerto Rico Symphony Orchestra (PRSO).\\n', 'Following the success of the Casals Festival held in San Juan in 1957, state legislator Ernesto Ramos Antonini proposed several laws which would create the Puerto Rico Symphony Orchestra that same year, and the Conservatory of Music in June 1959. The conservatory was originally envisioned as a school for preparing musicians for the PRSO and for preparing music teachers for the state public education system. Throughout the years, however, the conservatory has become a musical landmark in the Caribbean, providing advanced academic studies in various music areas to local students as well as international visitors.\\n', 'Since its inception, the conservatory has been under the administration of state government agencies, including the Puerto Rico Industrial Development Company (Compañía de Fomento Económico), the Administration for the Encouragement of Arts and Culture (Administración para el Fomento de las Artes y Cultura), and the Musical Arts Corporation (Corporación de las Artes Musicales, or CAM). It remained a part of the CAM until 1995 when a state law granted it fiscal and administrative autonomy. Since then, the conservatory has been autonomously run by a board of trustees appointed by the Governor and confirmed by the Senate.\\n']"
Corozal barrio-pueblo,Landmark,"['Corozal barrio-pueblois an urbanbarrioand the administrative center (seat) ofCorozal, a municipality of Puerto Rico. Its population in 2010 was 2,631.[1][4]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has apueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[5][6]\\n', ""Corozal barrio-pueblo was in Spain\\'sgazetteers[7]until Puerto Rico was ceded bySpainin the aftermath of theSpanish\\xe2\\x80\\x93American Warunder the terms of theTreaty of Paris of 1898and became anunincorporated territory of the United States. In 1899, theUnited States Department of Warconducted acensusof Puerto Rico finding that the population of Corozal barrio-pueblo (Pueblo) was 1,057.[8]\\n""]","{'latitude': None, 'longitude': None}",corozal_barrio-pueblo.txt,"['Corozal barrio-pueblo is an urban barrio and the administrative center (seat) of Corozal, a municipality of Puerto Rico. Its population in 2010 was 2,631.[1][4]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year.[5][6]\\n', ""Corozal barrio-pueblo was in Spain's gazetteers[7] until Puerto Rico was ceded by Spain in the aftermath of the Spanish–American War under the terms of the Treaty of Paris of 1898 and became an unincorporated territory of the United States. In 1899, the United States Department of War conducted a census of Puerto Rico finding that the population of Corozal barrio-pueblo (Pueblo) was 1,057.[8]\\n""]"
Couroupita nicaraguarensis,Landmark,"['\\n', 'Couroupita nicaraguarensis(the epithet often spelled asnicaraguensis), thebala de ca\\xc3\\xb1\\xc3\\xb3n,coco de mono,para\\xc3\\xadso,zapote de mico, orzapote de mono, is a species ofwoody plantin the familyLecythidaceae. It is found inColombia,Costa Rica,Ecuador,El Salvador,Nicaragua,Puerto RicoandPanama. It is threatened byhabitat loss. InPuerto Rico, the only place it is found at isToa Alta, Puerto Rico.[2]\\n', '\\n']","{'latitude': None, 'longitude': None}",couroupita_nicaraguarensis.txt,"['Couroupita nicaraguarensis (the epithet often spelled as nicaraguensis), the bala de cañón, coco de mono, paraíso, zapote de mico, or zapote de mono, is a species of woody plant in the family Lecythidaceae. It is found in Colombia, Costa Rica, Ecuador, El Salvador, Nicaragua, Puerto Rico, and Panama. It is threatened by habitat loss. In Puerto Rico, the only place it is found is Toa Alta, Puerto Rico.']"
Crash Boat Beach,Landmark,"['Crash Boat BeachorCrashboat Beach(Playa Crash Boat) on the northwestern coast ofPuerto Ricois situated in the municipality ofAguadilla. \\n', ""Crash Boat Beach is halfway between the formerRamey Air Force Base(today\\'s Aguadilla Airport) and Aguadilla and still retains some remains of its pier infrastructure from when it was used to support Ramey Air Force Base.[1]Now these piers remains are used as a fishing and recreation spot. \\n"", 'The Crash Boat Beach piers / dock was originally built for use by the United States military rescue boats who raced out to sea to rescue downed airmen from Ramey Air Force Base, hence the name ""Crash boat"". As time passed, the local sea currents deposited tons of sand into the pier area forming into a beach, making it unusable to dock boats at the pier.[2]\\n']","{'latitude': None, 'longitude': None}",crash_boat_beach.txt,"['Crash Boat Beach or Crashboat Beach (Playa Crash Boat) on the northwestern coast of Puerto Rico is situated in the municipality of Aguadilla. \\n', ""Crash Boat Beach is halfway between the former Ramey Air Force Base (today's Aguadilla Airport) and Aguadilla and still retains some remains of its pier infrastructure from when it was used to support Ramey Air Force Base. Now these piers' remains are used as a fishing and recreation spot. \\n"", 'The Crash Boat Beach piers/dock was originally built for use by the United States military rescue boats who raced out to sea to rescue downed airmen from Ramey Air Force Base, hence the name ""Crash boat."" As time passed, the local sea currents deposited tons of sand into the pier area forming a beach, making it unusable to dock boats at the pier.\\n']"
Cruceta del Vig\xc3\xada,Landmark,"['\\n', 'Cruceta del Vig\\xc3\\xada(English: The Watchman Cross) is a 100 feet (30 m) tall cross located atopCerro del Vig\\xc3\\xadainPonce, Puerto Rico, across fromMuseo Castillo Serrall\\xc3\\xa9s. It houses a tourist center at its base, a ten-story vertical tower, and a horizontal sky bridge that has panoramic views of the city of Ponce and theCaribbean Sea. Visitors can reach the skybridge via glass elevators or a staircase. Made of reinforced concrete, the cross has withstood various natural disasters, including three majorhurricanes. The arms of the cross measure 70 feet. It was inaugurated in 1984.[4]\\n', 'One of many landmarks of the city of Ponce, the cross is owned by the Municipality of Ponce and is currently operated by the ""Patronato de Ponce"", a non-profit organization dedicated to preserving the city\\\'s cultural heritage.[5][a]It is visited annually by some 100,000 tourists.[6]\\n']","{'latitude': -66.62018333333333, 'longitude': 18.01898611111111}",cruceta_del_vigía.txt,"['\\n', 'Cruceta del Vigía (English: The Watchman Cross) is a 100 feet (30 m) tall cross located atop Cerro del Vigía in Ponce, Puerto Rico, across from Museo Castillo Serrallés. It houses a tourist center at its base, a ten-story vertical tower, and a horizontal sky bridge that has panoramic views of the city of Ponce and the Caribbean Sea. Visitors can reach the skybridge via glass elevators or a staircase. Made of reinforced concrete, the cross has withstood various natural disasters, including three major hurricanes. The arms of the cross measure 70 feet. It was inaugurated in 1984.[4]\\n', 'One of many landmarks of the city of Ponce, the cross is owned by the Municipality of Ponce and is currently operated by the ""Patronato de Ponce,"" a non-profit organization dedicated to preserving the city\'s cultural heritage.[5][a] It is visited annually by some 100,000 tourists.[6]\\n']"
Cuevas Las Cabachuelas,Landmark,"['\\n', 'Cuevas Las Cabachuelas(Cabachuelas Caves) is a large cave system in Puerto Rico, located between the municipalities ofMorovisandCiales[1]in the Cabachuelas Natural Reserve, which was established in 2012.[2]It is of natural, cultural, archaeological, hydrological and geomorphological importance to Puerto Rico.[3]Guided tours are offered by the Di\\xc3\\xb3genes Col\\xc3\\xb3n G\\xc3\\xb3mez Cultural Center in Morovis.[1]\\n', 'The caves are located in Barahona barrio in Morovis and have been studied in depth by Roberto Mart\\xc3\\xadnez and Ovidio D\\xc3\\xa1vila.[4]Mart\\xc3\\xadnez pushed for designating the cave system as a national park system.[5]\\nThere are 60 caves in the Cabachuelas zone which was declared a natural reserve on February 29, 2012, with the signing of law 129 by then governor,Luis Fortu\\xc3\\xb1o.[6]Since then a process of identifying the land around the cave system-what needed to be purchased from private owners began, and it was decided that there were 16 privately owned properties which should become part of the reserve.[3]In February 2019 the park opened to the public. Guided tours for groups of up to 15 people are coordinated by CABACOOP, Proyecto Cabachuelas.\\n']","{'latitude': None, 'longitude': None}",cuevas_las_cabachuelas.txt,"Cuevas Las Cabachuelas (Cabachuelas Caves) is a large cave system in Puerto Rico, located between the municipalities of Morovis and Ciales in the Cabachuelas Natural Reserve, which was established in 2012. It is of natural, cultural, archaeological, hydrological, and geomorphological importance to Puerto Rico. Guided tours are offered by the Diogenes Colón Gómez Cultural Center in Morovis. 

The caves are located in Barahona barrio in Morovis and have been studied in depth by Roberto Martínez and Ovidio Dávila. Martínez pushed for designating the cave system as a national park. There are 60 caves in the Cabachuelas zone, which was declared a natural reserve on February 29, 2012, with the signing of law 129 by then governor, Luis Fortuño. Since then, a process of identifying the land around the cave system—what needed to be purchased from private owners—began, and it was decided that there were 16 privately owned properties that should become part of the reserve. In February 2019, the park opened to the public. Guided tours for groups of up to 15 people are coordinated by CABACOOP, Proyecto Cabachuelas."
Cueva del Indio (Arecibo),Landmark,"['Cueva del Indio(Spanishfor ""cave of the Indian"") is a seaside cave located alonglimestonecliffs inIslote,AreciboalongPuerto Rico\\\'s Atlantic coast. The cave and its surroundings are protected by thePuerto Rico Department of Natural and Environmental Resources(DRNA) as theCueva del Indio Nature Reserve.[1]The cave gets its name after the numerous petroglyphs created by theTa\\xc3\\xadnos.[2]\\n', 'The marine areas off Cueva del Indio are also protected as part of Cueva del Indio Nature Reserve, particularly the turtlegrass (Thalassia testudinum) meadows which is important for theWest Indian manateeand numerous other animal species.[3]\\n', '18\\xc2\\xb029\\xe2\\x80\\xb234\\xe2\\x80\\xb3N66\\xc2\\xb038\\xe2\\x80\\xb230\\xe2\\x80\\xb3W\ufeff / \ufeff18.49274\\xc2\\xb0N 66.64155\\xc2\\xb0W\ufeff /18.49274; -66.64155\\n']","{'latitude': None, 'longitude': None}",cueva_del_indio_(arecibo).txt,"['Cueva del Indio (Spanish for ""cave of the Indian"") is a seaside cave located along limestone cliffs in Islote, Arecibo along Puerto Rico\'s Atlantic coast. The cave and its surroundings are protected by the Puerto Rico Department of Natural and Environmental Resources (DRNA) as the Cueva del Indio Nature Reserve. The cave gets its name from the numerous petroglyphs created by the Taínos. ', 'The marine areas off Cueva del Indio are also protected as part of Cueva del Indio Nature Reserve, particularly the turtlegrass (Thalassia testudinum) meadows, which are important for the West Indian manatee and numerous other animal species. ', '18°29′34″N 66°38′30″W / 18.49274°N 66.64155°W / 18.49274; -66.64155 ']"
Cueva del Indio (Las Piedras),Landmark,"['Cueva del Indio, inLas Piedras, Puerto Rico, is a prehistoric rock art site in what is now a public park. It was listed on theNational Register of Historic Placesin 2003.[1]\\n', 'Artifacts at the site appear to stem from Late Ceramic Period, third phase, i.e., from A.D. 1200 to 1500.[2][3]\\n', '\\n']","{'latitude': None, 'longitude': None}",cueva_del_indio_(las_piedras).txt,"['Cueva del Indio, in Las Piedras, Puerto Rico, is a prehistoric rock art site in what is now a public park. It was listed on the National Register of Historic Places in 2003.[1]\\n', 'Artifacts at the site appear to stem from the Late Ceramic Period, third phase, i.e., from A.D. 1200 to 1500.[2][3]\\n', '\\n']"
Cueva Lucero,Landmark,"['Cueva Lucero(English:Star Cave) is a cave andarcheological sitein theGuayabalbarrio of theJuana D\\xc3\\xadazmunicipality, inPuerto Rico. The cave includes more than 100petroglyphsandpictographs""making it one of the best examples of aboriginal rock art in theAntilles."" It has been known to archeologists since at least the early 1900s. Most of its images arezoomorphic. The site is known to locals including rock-climbers and spelunkers and there is some modern graffiti.[2]\\n', 'The cave was listed on theNational Register of Historic Placesin 2008.[3]\\n', 'View from insideCueva Lucero:\\n']","{'latitude': None, 'longitude': None}",cueva_lucero.txt,"['Cueva Lucero (English: Star Cave) is a cave and archaeological site in the Guayabal barrio of the Juana Díaz municipality, in Puerto Rico. The cave includes more than 100 petroglyphs and pictographs, making it one of the best examples of aboriginal rock art in the Antilles. It has been known to archaeologists since at least the early 1900s. Most of its images are zoomorphic. The site is known to locals including rock climbers and spelunkers, and there is some modern graffiti. [2]\\n', 'The cave was listed on the National Register of Historic Places in 2008. [3]\\n', 'View from inside Cueva Lucero:\\n']"
Cueva Ventana,Landmark,"['Cueva Ventana(English:Window Cave) is a large cave situated atop alimestonecliff inArecibo, Puerto Rico, overlooking theR\\xc3\\xado Grande de Arecibovalley. It is visible from thePR-123but is accessible from a trail that begins adjacent to aPumagas station located alongPR-10on kilometer 75. The cave and surrounding land are privately owned.\\n', ""\\nThe cave is a popular tourist attraction for Puerto Ricans as well as tourists visiting from outside Puerto Rico.[1]An initial admittance fee for Saturday and Sunday visits was established by the owner of a nearby gas station, due to the location\\'s popularity. The number of visitors is at its largest on both Saturdays and Sundays from early morning to an hour before nightfall. In January 2013, a daily admission fee was established, and later raised the following month. A boardwalk project was constructed from the gas station, leading up to around 200 feet into the trail, as well as a small parking lot atop a plateau behind the gas station. After a rise in popularity and visits, different admission fees were established for certain days of the week, providing necessary safety equipment for the 45-minute guided tour. The number of visitors is greatest on both Saturdays and Sundays from early morning to an hour before nightfall. Nightly tours are also offered on Wednesdays and Thursdays.[2][3][4]"", 'Between February and March 2009,Disney ChannelfilmedWizards of Waverly Place: The Moviein Puerto Rico with scenes shot inside the cave as well as a land that sits in theR\\xc3\\xado Grande de Arecibovalley in front of the limestone cliff where the cave sits. In 2011, the cave was used as one of the settings for the 2012 British TV miniseriesTreasure Island. In the summer of 2012, filming of the 2013 filmRunner, Runnertook place inside the cave.[5]\\n']","{'latitude': None, 'longitude': None}",cueva_ventana.txt,"['Cueva Ventana (English: Window Cave) is a large cave situated atop a limestone cliff in Arecibo, Puerto Rico, overlooking the Río Grande de Arecibo valley. It is visible from the PR-123 but is accessible from a trail that begins adjacent to a Pumagas station located along PR-10 on kilometer 75. The cave and surrounding land are privately owned.\n', ""\nThe cave is a popular tourist attraction for Puerto Ricans as well as tourists visiting from outside Puerto Rico. An initial admittance fee for Saturday and Sunday visits was established by the owner of a nearby gas station, due to the location's popularity. The number of visitors is at its largest on both Saturdays and Sundays from early morning to an hour before nightfall. In January 2013, a daily admission fee was established, and later raised the following month. A boardwalk project was constructed from the gas station, leading up to around 200 feet into the trail, as well as a small parking lot atop a plateau behind the gas station. After a rise in popularity and visits, different admission fees were established for certain days of the week, providing necessary safety equipment for the 45-minute guided tour. The number of visitors is greatest on both Saturdays and Sundays from early morning to an hour before nightfall. Nightly tours are also offered on Wednesdays and Thursdays.\n"", 'Between February and March 2009, Disney Channel filmed Wizards of Waverly Place: The Movie in Puerto Rico with scenes shot inside the cave as well as a land that sits in the Río Grande de Arecibo valley in front of the limestone cliff where the cave sits. In 2011, the cave was used as one of the settings for the 2012 British TV miniseries Treasure Island. In the summer of 2012, filming of the 2013 film Runner, Runner took place inside the cave.\n']"
Culebra barrio-pueblo,Landmark,"['Culebra barrio-puebloorCulebra Pueblo(English:Culebra Town, historically:Dewey) is abarrioand the administrative center (seat) ofCulebra, an island-municipality of Puerto Rico. Its population in 2010 was 462.[1][5][6][7]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[8][9]\\n', 'The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\\\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a prop\\xc3\\xb3sito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\\nn\\xc3\\xbamero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[8]\\n']","{'latitude': None, 'longitude': None}",culebra_barrio-pueblo.txt,"['Culebra barrio-pueblo or Culebra Pueblo (English: Culebra Town, historically: Dewey) is a barrio and the administrative center (seat) of Culebra, an island-municipality of Puerto Rico. Its population in 2010 was 462.[1][5][6][7]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year.[8][9]\\n', 'The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[8]\\n']"
Culebra National Wildlife Refuge,Landmark,"['TheCulebra National Wildlife Refuge(Spanish:Refugio nacional de vida silvestre de Culebra) is aNational Wildlife RefugeinPuerto Rico. It is part of theCaribbean Islands National Wildlife Refuge Complex, which is a unit of theU.S. Fish and Wildlife Service. It is the site of the former Camp Roosevelt.[2]\\n', 'The wildlife refuge covers an area of 1,450 acres (5.86 square kilometers) or one quarter of the island municipality ofCulebra, protecting all of its outlying islands and keys (with the exception of the privately ownedKey Norte), and the wetlands and mangroves found inEnsenada Hondaand southeast Culebra. The national refuge also includes the forested areas around Monte Resaca, the highest point in Culebra.[3]\\n', 'Portions of the island of Culebra were first designated a wildlife reserve in 1909 in accordance with an order proclaimed by then President Theodore Roosevelt. At the time, Culebra was administered by the United States Navy, and several areas were used for gunnery and bombing practice by the Navy and the Marine Corps until 1976. Portions of the Navy-administered lands were returned to the Puerto Rican government in 1977 while jurisdiction over the rest of the zone was passed to the United States Fish and Wildlife Service. On-site administration of the refuge was established in 1983.[4]\\n']","{'latitude': None, 'longitude': None}",culebra_national_wildlife_refuge.txt,"['The Culebra National Wildlife Refuge (Spanish: Refugio nacional de vida silvestre de Culebra) is a National Wildlife Refuge in Puerto Rico. It is part of the Caribbean Islands National Wildlife Refuge Complex, which is a unit of the U.S. Fish and Wildlife Service. It is the site of the former Camp Roosevelt.[2]\\n', 'The wildlife refuge covers an area of 1,450 acres (5.86 square kilometers) or one quarter of the island municipality of Culebra, protecting all of its outlying islands and keys (with the exception of the privately owned Key Norte), and the wetlands and mangroves found in Ensenada Honda and southeast Culebra. The national refuge also includes the forested areas around Monte Resaca, the highest point in Culebra.[3]\\n', 'Portions of the island of Culebra were first designated a wildlife reserve in 1909 in accordance with an order proclaimed by then President Theodore Roosevelt. At the time, Culebra was administered by the United States Navy, and several areas were used for gunnery and bombing practice by the Navy and the Marine Corps until 1976. Portions of the Navy-administered lands were returned to the Puerto Rican government in 1977 while jurisdiction over the rest of the zone was passed to the United States Fish and Wildlife Service. On-site administration of the refuge was established in 1983.[4]\\n']"
Culebrita Island,Landmark,"['Culebrita Island(Spanish:Isla Culebrita,meaning ""little snake island"") is a small, uninhabited island off the eastern coast of the island-municipalityofCulebrain theSpanish Virgin Islands, administratively part of thearchipelago of Puerto Ricoand geographically part of thearchipelago of the Virgin Islands. Together withCayo Botellaoff the northwestern point, andPel\\xc3\\xa1andPelaitato the west, Culebrita belongs to thebarrioFraileof the main island of Culebra. It is anature reserveand is part of theCulebra National Wildlife Refuge. The island is home toCulebrita Lighthouse, one of the oldestlighthousesin theCaribbean. Culebrita is only accessible by private boat from the main island of Culebra.[1]\\n', ""Culebrita is acoralisland approximately 1 mile in length and a tourist spot.[2]It is roughly y-shaped with three branches extending from the island\\'s center.Punta del Esteis the easternmost landmass of theCommonwealth of Puerto Rico.\\n"", 'There are six beaches on Culebrita, the chief one beingPlaya Tortuga(Turtle Beach) on the north side of the island. The beach is named for the manysea turtlesthat use the beach for breeding grounds and the surrounding waters for grazing. Sea turtles Tina and Ike call Playa Tortuga home. The other two large beaches are Trash Beach and West Beach. Because Trash Beach is located on thewindwardside of the island, debris is often blown onto this beach. This is how the beach gets its name. West Beach is where thewater taxisfromCulebra Islanddock.[3]\\n']","{'latitude': None, 'longitude': None}",culebrita.txt,"Culebrita Island (Spanish: Isla Culebrita, meaning ""little snake island"") is a small, uninhabited island off the eastern coast of the island-municipality of Culebra in the Spanish Virgin Islands, administratively part of the archipelago of Puerto Rico and geographically part of the archipelago of the Virgin Islands. Together with Cayo Botella off the northwestern point, and Pelá and Pelaita to the west, Culebrita belongs to the barrio Fraile of the main island of Culebra. It is a nature reserve and is part of the Culebra National Wildlife Refuge. The island is home to Culebrita Lighthouse, one of the oldest lighthouses in the Caribbean. Culebrita is only accessible by private boat from the main island of Culebra. 

Culebrita is a coral island approximately 1 mile in length and a tourist spot. It is roughly Y-shaped with three branches extending from the island's center. Punta del Este is the easternmost landmass of the Commonwealth of Puerto Rico. 

There are six beaches on Culebrita, the chief one being Playa Tortuga (Turtle Beach) on the north side of the island. The beach is named for the many sea turtles that use the beach for breeding grounds and the surrounding waters for grazing. Sea turtles Tina and Ike call Playa Tortuga home. The other two large beaches are Trash Beach and West Beach. Because Trash Beach is located on the windward side of the island, debris is often blown onto this beach. This is how the beach gets its name. West Beach is where the water taxis from Culebra Island dock."
